@relation out.arff_feaSele

@attribute Fea0 numeric
@attribute Fea1 numeric
@attribute Fea2 numeric
@attribute Fea3 numeric
@attribute Fea4 numeric
@attribute Fea5 numeric
@attribute Fea6 numeric
@attribute Fea7 numeric
@attribute Fea8 numeric
@ATTRIBUTE class {0,1} 

@data
0.48771933,0.47252744,0.4666667,0.51692307,0.5125,0.5714286,0.54761904,0.48888886,0.4571429,0
0.45614037,0.46428567,0.45000002,0.48307693,0.5,0.5,0.52380955,0.5,0.57142854,0
0.4210526,0.44780216,0.4041667,0.46769232,0.46666667,0.60714287,0.5,0.46666667,0.51428574,0
0.50526315,0.49450547,0.49375,0.5692308,0.5416667,0.48809525,0.59523815,0.6,0.5285714,0
0.61403507,0.59615386,0.6333334,0.5446154,0.56666666,0.5714286,0.54761904,0.54444444,0.5,0
0.57543856,0.61538464,0.6041667,0.6184615,0.55,0.48809525,0.45238096,0.4888889,0.44285718,0
0.47719294,0.5192308,0.42291668,0.48615387,0.5,0.55952376,0.54761904,0.48888886,0.44285718,0
0.45964912,0.48351645,0.41666672,0.42461538,0.47500002,0.5,0.47619048,0.45555553,0.5,0
0.4070175,0.4038461,0.39375,0.43384618,0.4416667,0.55952376,0.6666667,0.58888894,0.5,0
0.49122807,0.47802195,0.45833337,0.51076925,0.53749996,0.6666666,0.6190476,0.56666666,0.59999996,0
0.4280702,0.43681312,0.4645834,0.44307694,0.48333335,0.63095236,0.59523815,0.5222222,0.5142857,0
0.49824563,0.49450547,0.47708336,0.51692307,0.5083333,0.47619048,0.5714286,0.54444444,0.45714286,0
0.40701756,0.41758242,0.4270833,0.47692305,0.4958333,0.44047618,0.5,0.5222222,0.50000006,0
0.5508772,0.5989011,0.51458335,0.5876923,0.5583333,0.5952381,0.5238095,0.5,0.5714286,0
0.44210526,0.4752747,0.475,0.51076925,0.5083333,0.6666667,0.59523815,0.53333336,0.59999996,0
0.4105263,0.4395604,0.4416667,0.47692305,0.42916667,0.47619048,0.52380955,0.4888889,0.44285718,0
0.5368421,0.51098895,0.53125006,0.5692308,0.5708334,0.5357143,0.52380955,0.4777778,0.5285714,0
0.49824563,0.45879117,0.48333338,0.4861538,0.49166667,0.4880952,0.54761904,0.5555556,0.5714286,0
0.43859646,0.46428567,0.425,0.41538462,0.46666667,0.5,0.5,0.45555553,0.41428572,0
0.43508774,0.4065934,0.42291668,0.4923077,0.48333335,0.5119048,0.54761904,0.49999997,0.45714283,0
0.45964915,0.4065934,0.4,0.46769235,0.45000002,0.53571427,0.42857146,0.45555553,0.4714286,0
0.51929826,0.5604395,0.54791665,0.55692303,0.5541667,0.5357143,0.52380955,0.53333336,0.61428577,0
0.5122807,0.56593406,0.50625,0.5753846,0.50416666,0.64285713,0.4761905,0.43333334,0.55714285,0
0.5438596,0.58516484,0.5666667,0.5353846,0.5083333,0.5714286,0.45238096,0.4111111,0.50000006,0
0.43157896,0.47527474,0.47708333,0.52000004,0.57916665,0.54761904,0.5,0.53333336,0.4857143,0
0.47368425,0.47802195,0.45000002,0.52615386,0.48749998,0.5833333,0.5,0.4777778,0.5,0
0.4947368,0.4532967,0.45833337,0.51384616,0.54583335,0.54761904,0.5714286,0.5,0.5285714,0
0.445614,0.4697802,0.42916667,0.47384614,0.5083333,0.5357143,0.5,0.46666667,0.5,0
0.44912282,0.40934065,0.44583336,0.3876923,0.38750005,0.5238095,0.4761905,0.44444448,0.5,0
0.49473682,0.45054942,0.44375002,0.4830769,0.45416665,0.53571427,0.52380955,0.5,0.5142857,0
0.64561397,0.6291209,0.6645834,0.62153846,0.6458333,0.5595238,0.5952381,0.6222222,0.5,0
0.47368422,0.52197796,0.50416666,0.51076925,0.47916666,0.54761904,0.52380955,0.46666667,0.55714285,0
0.40350875,0.4230769,0.42708334,0.40615383,0.43333337,0.6190476,0.6666667,0.61111104,0.55714285,0
0.46315792,0.49175826,0.45,0.46769232,0.47500002,0.5833333,0.52380955,0.46666667,0.42857143,0
0.43859652,0.4752747,0.41875,0.50153846,0.49166667,0.54761904,0.5714286,0.5222222,0.5714286,0
0.49122807,0.5137362,0.41250002,0.44307694,0.49166667,0.52380955,0.3809524,0.34444445,0.45714283,0
0.54385966,0.5082417,0.5104167,0.49538463,0.42499998,0.5,0.4761905,0.45555553,0.40000004,0
0.51929826,0.5741758,0.50208336,0.5969231,0.51666665,0.64285713,0.45238096,0.47777778,0.5714286,0
0.43157896,0.41758236,0.38958332,0.39692307,0.45833334,0.5833333,0.3809524,0.35555556,0.44285718,0
0.4982456,0.46703294,0.45208338,0.47692305,0.5,0.5238095,0.5238095,0.46666667,0.5142857,0
0.42807016,0.45329672,0.4166667,0.47692305,0.46666667,0.5238095,0.5,0.46666667,0.5,0
0.53684217,0.5274725,0.54375,0.4923077,0.49166667,0.5714286,0.5714286,0.5,0.54285717,0
0.49824566,0.478022,0.48125002,0.47384614,0.5166667,0.5952381,0.5,0.45555556,0.47142857,0
0.5438596,0.57967037,0.49166667,0.50461537,0.5833334,0.52380955,0.42857143,0.44444448,0.41428572,0
0.41754383,0.4560439,0.40833333,0.4523077,0.47083333,0.47619045,0.52380955,0.53333336,0.5714286,0
0.43859652,0.45329672,0.45416668,0.4861538,0.52916664,0.5952381,0.5,0.46666667,0.4857143,0
0.45964915,0.50274724,0.50625,0.49846157,0.4958333,0.54761904,0.52380955,0.5222222,0.64285713,0
0.46666667,0.5192307,0.49166673,0.51384616,0.48333335,0.47619048,0.4761905,0.45555553,0.40000004,0
0.48771924,0.5082418,0.46666667,0.46461535,0.47916666,0.5833334,0.54761904,0.54444444,0.55714285,0
0.50526315,0.45054942,0.44791666,0.45846155,0.48333338,0.5119048,0.5238095,0.53333336,0.45714283,0
0.7157895,0.6840659,0.62916666,0.64,0.6666667,0.5,0.5238095,0.54444444,0.50000006,1
0.48070174,0.46703294,0.47916666,0.51384616,0.46666667,0.54761904,0.52380955,0.5555556,0.4857143,1
0.6666667,0.6291209,0.5958333,0.5630769,0.52916664,0.6190476,0.47619048,0.44444448,0.61428565,1
0.48070177,0.48901102,0.51250005,0.51076925,0.53333336,0.47619048,0.45238093,0.48888886,0.49999997,1
0.75438595,0.72252744,0.65625,0.6523076,0.675,0.5714286,0.71428573,0.6333333,0.6,1
0.7614035,0.7335164,0.7291667,0.71692306,0.67083335,0.5714286,0.54761904,0.56666666,0.61428577,1
0.5789473,0.5576923,0.5854167,0.56,0.53749996,0.5833333,0.5714286,0.4777778,0.59999996,1
0.631579,0.5934066,0.59375,0.5661539,0.5,0.7142857,0.5714286,0.5222222,0.61428577,1
0.5473684,0.532967,0.57291675,0.5076923,0.47916666,0.5714286,0.54761904,0.5444444,0.5714286,1
0.6421052,0.6181318,0.60625,0.5507692,0.5541667,0.5,0.54761904,0.4888889,0.5,1
0.57192975,0.5384615,0.5437499,0.51384616,0.49166664,0.48809525,0.54761904,0.53333336,0.4857143,1
0.57894737,0.5384615,0.5520833,0.5046154,0.47083333,0.52380955,0.64285713,0.5444444,0.4571429,1
0.6350877,0.59615386,0.58958334,0.53846157,0.5125,0.80952376,0.52380955,0.46666667,0.64285713,1
0.5368421,0.5274725,0.56875,0.56,0.54583335,0.61904764,0.45238096,0.4777778,0.54285717,1
0.61403507,0.59615386,0.6333334,0.5446154,0.56666666,0.60714287,0.5714286,0.5555556,0.55714285,1
0.645614,0.64285713,0.6416667,0.6676923,0.59166664,0.54761904,0.78571427,0.8222223,0.61428577,1
0.64561397,0.63461536,0.65000004,0.6461538,0.59999996,0.85714287,0.6666667,0.6666667,0.8428572,1
0.6842106,0.67032963,0.64375,0.66461533,0.6416667,0.6785714,0.6666667,0.6777778,0.6857143,1
0.77192986,0.74450547,0.6895833,0.73846155,0.6708333,0.61904764,0.88095236,0.8555556,0.6,1
0.5438596,0.5192308,0.52708334,0.51076925,0.55833334,0.64285713,0.4761905,0.4777778,0.5714286,1
0.5333333,0.50549453,0.49791667,0.49538457,0.47916666,0.54761904,0.54761904,0.5777778,0.45714286,1
0.54035085,0.5137363,0.57500005,0.50461537,0.4666667,0.5119048,0.5952381,0.5777778,0.5285714,1
0.67017543,0.64560443,0.6833334,0.6276923,0.59166664,0.85714287,0.6190476,0.6,0.8428572,1
0.58947366,0.5686813,0.54791665,0.53846157,0.57500005,0.79761904,0.64285713,0.54444444,0.7428571,1
0.5929824,0.57142854,0.5604167,0.5415385,0.4958333,0.5,0.5,0.4888889,0.5142857,1
0.7192983,0.7060439,0.7395834,0.74769235,0.6708333,0.6666667,0.64285713,0.64444447,0.61428577,1
0.46666664,0.49725273,0.46041667,0.46153846,0.41666672,0.5,0.5238095,0.4777778,0.44285712,1
0.70526314,0.6978021,0.7395834,0.7569231,0.6666666,0.6666667,0.6666667,0.65555555,0.62857145,1
0.48421052,0.48626372,0.49375004,0.49846154,0.5416667,0.54761904,0.54761904,0.5777778,0.5,1
0.5263158,0.4972527,0.4895834,0.50153846,0.49166664,0.47619048,0.54761904,0.51111114,0.5,1
0.6666667,0.7362637,0.6458334,0.73846155,0.7250001,0.47619048,0.6666666,0.6111111,0.5,1
0.56140345,0.53296703,0.5520834,0.51384616,0.52500004,0.6785714,0.54761904,0.5555556,0.8,1
0.74736845,0.728022,0.65,0.6738462,0.7,0.6666667,0.5238095,0.53333336,0.5714286,1
0.5333333,0.4945055,0.4958333,0.48,0.45416668,0.5357143,0.6190476,0.53333336,0.5428571,1
